CharacterName,SquadPath,IllerstrationPath,IconPath,FlagPath,
열렙전사,Squads/Squad_Character_000,Illerstration/Illerstration_Character_000,Icons/Icon_Character_000,Flags/Flag_Character_000,
헤리아치,Squads/Squad_Character_001,Illerstration/Illerstration_Character_001,Icons/Icon_Character_001,Flags/Flag_Character_001,
퐁당스프,Squads/Squad_Character_002,Illerstration/Illerstration_Character_002,Icons/Icon_Character_002,Flags/Flag_Character_002,
티미와 바쉬,Squads/Squad_Character_003,Illerstration/Illerstration_Character_003,Icons/Icon_Character_003,Flags/Flag_Character_003,
소라,Squads/Squad_Character_004,Illerstration/Illerstration_Character_004,Icons/Icon_Character_004,Flags/Flag_Character_004,
하트히터,Squads/Squad_Character_005,Illerstration/Illerstration_Character_005,Icons/Icon_Character_005,Flags/Flag_Character_005,
슈브,Squads/Squad_Character_006,Illerstration/Illerstration_Character_006,Icons/Icon_Character_006,Flags/Flag_Character_006,
데이컨,Squads/Squad_Character_007,Illerstration/Illerstration_Character_007,Icons/Icon_Character_007,Flags/Flag_Character_007,
한성공,Squads/Squad_Character_008,Illerstration/Illerstration_Character_008,Icons/Icon_Character_008,Flags/Flag_Character_008,
리라,Squads/Squad_Character_009,Illerstration/Illerstration_Character_009,Icons/Icon_Character_009,Flags/Flag_Character_009,
지존검사,Squads/Squad_Character_010,Illerstration/Illerstration_Character_010,Icons/Icon_Character_010,Flags/Flag_Character_010,
레디나이아,Squads/Squad_Character_011,Illerstration/Illerstration_Character_011,Icons/Icon_Character_011,Flags/Flag_Character_011,
김비서,Squads/Squad_Character_012,Illerstration/Illerstration_Character_012,Icons/Icon_Character_012,Flags/Flag_Character_012,
제로,Squads/Squad_Character_013,Illerstration/Illerstration_Character_013,Icons/Icon_Character_013,Flags/Flag_Character_013,
죽창맨,Squads/Squad_Character_014,Illerstration/Illerstration_Character_014,Icons/Icon_Character_014,Flags/Flag_Character_014,
노네임,Squads/Squad_Character_015,Illerstration/Illerstration_Character_015,Icons/Icon_Character_015,Flags/Flag_Character_015,
여포,Squads/Squad_Character_016,Illerstration/Illerstration_Character_016,Icons/Icon_Character_016,Flags/Flag_Character_016,
아르메스,Squads/Squad_Character_017,Illerstration/Illerstration_Character_017,Icons/Icon_Character_017,Flags/Flag_Character_017,
쿄,Squads/Squad_Character_018,Illerstration/Illerstration_Character_018,Icons/Icon_Character_018,Flags/Flag_Character_018,
템페스트,Squads/Squad_Character_019,Illerstration/Illerstration_Character_019,Icons/Icon_Character_019,Flags/Flag_Character_019,
라이트,Squads/Squad_Character_020,Illerstration/Illerstration_Character_020,Icons/Icon_Character_020,Flags/Flag_Character_020,
리고스,Squads/Squad_Character_021,Illerstration/Illerstration_Character_021,Icons/Icon_Character_021,Flags/Flag_Character_021,
새드스마일,Squads/Squad_Character_022,Illerstration/Illerstration_Character_022,Icons/Icon_Character_022,Flags/Flag_Character_022,
다크,Squads/Squad_Character_023,Illerstration/Illerstration_Character_023,Icons/Icon_Character_023,Flags/Flag_Character_023,
초코비비,Squads/Squad_Character_024,Illerstration/Illerstration_Character_024,Icons/Icon_Character_024,Flags/Flag_Character_024,
푸우푸,Squads/Squad_Character_025,Illerstration/Illerstration_Character_025,Icons/Icon_Character_025,Flags/Flag_Character_025,
오즈,Squads/Squad_Character_026,Illerstration/Illerstration_Character_026,Icons/Icon_Character_026,Flags/Flag_Character_026,
콘스탄트,Squads/Squad_Character_027,Illerstration/Illerstration_Character_027,Icons/Icon_Character_027,Flags/Flag_Character_027,
한건호,Squads/Squad_Character_028,Illerstration/Illerstration_Character_028,Icons/Icon_Character_028,Flags/Flag_Character_028,
라임,Squads/Squad_Character_029,Illerstration/Illerstration_Character_029,Icons/Icon_Character_029,Flags/Flag_Character_029,
알파카맨,Squads/Squad_Character_030,Illerstration/Illerstration_Character_030,Icons/Icon_Character_030,Flags/Flag_Character_030,
한수아,Squads/Squad_Character_031,Illerstration/Illerstration_Character_031,Icons/Icon_Character_031,Flags/Flag_Character_031,
